MAPPED_TRAIT,MAPPED_TRAIT_URI,MAPPED_TRAIT_DESCRIPTION
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of vacuolar protein sorting-associated protein 4B in blood serum,http://purl.obolibrary.org/obo/OBA_2044112,Ontology not covered
level of vacuolar protein sorting-associated protein 4B in blood serum,http://purl.obolibrary.org/obo/OBA_2044112,Ontology not covered
level of vacuolar protein sorting-associated protein 4B in blood serum,http://purl.obolibrary.org/obo/OBA_2044112,Ontology not covered
level of vacuolar protein sorting-associated protein 4B in blood serum,http://purl.obolibrary.org/obo/OBA_2044112,Ontology not covered
level of vacuolar protein sorting-associated protein 4B in blood serum,http://purl.obolibrary.org/obo/OBA_2044112,Ontology not covered
level of vacuolar protein sorting-associated protein 4B in blood serum,http://purl.obolibrary.org/obo/OBA_2044112,Ontology not covered
level of vacuolar protein sorting-associated protein 4B in blood serum,http://purl.obolibrary.org/obo/OBA_2044112,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10 in blood serum,http://purl.obolibrary.org/obo/OBA_2044378,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10 in blood serum,http://purl.obolibrary.org/obo/OBA_2044378,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10 in blood serum,http://purl.obolibrary.org/obo/OBA_2044378,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10 in blood serum,http://purl.obolibrary.org/obo/OBA_2044378,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10 in blood serum,http://purl.obolibrary.org/obo/OBA_2044378,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10 in blood serum,http://purl.obolibrary.org/obo/OBA_2044378,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10 in blood serum,http://purl.obolibrary.org/obo/OBA_2044378,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10 in blood serum,http://purl.obolibrary.org/obo/OBA_2044378,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10-like in blood serum,http://purl.obolibrary.org/obo/OBA_2044561,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10-like in blood serum,http://purl.obolibrary.org/obo/OBA_2044561,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10-like in blood serum,http://purl.obolibrary.org/obo/OBA_2044561,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 10-like in blood serum,http://purl.obolibrary.org/obo/OBA_2044561,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044774,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 2 in blood serum,http://purl.obolibrary.org/obo/OBA_2044774,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of vitrin in blood serum,http://purl.obolibrary.org/obo/OBA_2044102,Ontology not covered
level of V-set and transmembrane domain-containing protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044452,Ontology not covered
level of V-set and transmembrane domain-containing protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044452,Ontology not covered
level of V-set and transmembrane domain-containing protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044452,Ontology not covered
level of V-set and transmembrane domain-containing protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044452,Ontology not covered
level of V-set and transmembrane domain-containing protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044452,Ontology not covered
level of V-set and transmembrane domain-containing protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044452,Ontology not covered
level of V-set and transmembrane domain-containing protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044452,Ontology not covered
level of V-set and transmembrane domain-containing protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044452,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of vesicle transport through interaction with t-SNAREs homolog 1A in blood serum,http://purl.obolibrary.org/obo/OBA_2044118,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of epididymis-specific alpha-mannosidase in blood serum,http://purl.obolibrary.org/obo/OBA_2042278,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of V-set and immunoglobulin domain-containing protein 4 in blood serum,http://purl.obolibrary.org/obo/OBA_2044115,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
level of visinin-like protein 1 in blood serum,http://purl.obolibrary.org/obo/OBA_2044116,Ontology not covered
